Criptomoneda,Timestamp,Precio,Market Cap,Volumen de Transaccion
Bitcoin,2018-01-01 00:00:00.000,14093.6068305274,236440337971.831,2345478673.51547
Bitcoin,2018-01-02 00:00:00.000,15321.9328517642,257079617264.841,4130217904.20997
Bitcoin,2018-01-03 00:00:00.000,15583.8855377593,261505188675.858,3310355625.12559
Bitcoin,2018-01-04 00:00:00.000,15976.365194174,268124738814.997,4217387187.52564
Bitcoin,2018-01-05 00:00:00.000,18336.9229801691,307774011688.352,6275687595.94033
Bitcoin,2018-01-06 00:00:00.000,18343.6624934071,307926110569.528,4240919830.5153
Bitcoin,2018-01-07 00:00:00.000,17039.8739138488,286074127681.138,3044989246.79649
Bitcoin,2018-01-08 00:00:00.000,15900.3650216006,266976271422.562,5752981089.53674
Bitcoin,2018-01-09 00:00:00.000,15604.7234082405,262044268423.305,4214092201.80707
Bitcoin,2018-01-10 00:00:00.000,15509.2701268168,260474112841.845,4969472882.94122
Bitcoin,2018-01-11 00:00:00.000,14050.5696063543,236008991341.729,5833888113.05388
Bitcoin,2018-01-12 00:00:00.000,14759.294629915,247945818276.331,4021952802.5977
Bitcoin,2018-01-13 00:00:00.000,15193.3148979847,255265724750.927,3134247725.13248
Bitcoin,2018-01-14 00:00:00.000,14476.5889713691,243252295974.261,3336056550.55321
Bitcoin,2018-01-15 00:00:00.000,14411.9977069182,242193794408.733,3222958351.44781
Bitcoin,2018-01-16 00:00:00.000,11723.9135206658,197043955228.792,9677283153.05965
Bitcoin,2018-01-17 00:00:00.000,11415.3928442768,191882616843.447,10225958520.6217
Bitcoin,2018-01-18 00:00:00.000,11569.4249920858,194496634731.302,6558304864.22333
Bitcoin,2018-01-19 00:00:00.000,11758.4693327652,197698672432.581,4208563477.45816
Bitcoin,2018-01-20 00:00:00.000,13260.2711872786,222978421656.463,4520485016.42738
Bitcoin,2018-01-21 00:00:00.000,11703.5048628599,196828374433.092,4319501969.01479
Bitcoin,2018-01-22 00:00:00.000,10991.5950130802,184878210439.398,5012581424.29001
Bitcoin,2018-01-23 00:00:00.000,10894.0009053405,183260375707.762,4779406610.50954
Bitcoin,2018-01-24 00:00:00.000,11277.1159704489,189730563330.713,3582338295.94443
Bitcoin,2018-01-25 00:00:00.000,11225.2544568853,188880475665.027,3204496193.30237
Bitcoin,2018-01-26 00:00:00.000,11044.9072365744,185867144988.132,4616389063.3104
Bitcoin,2018-01-27 00:00:00.000,11456.2135062799,192805209257.314,2894314081.3754
Bitcoin,2018-01-28 00:00:00.000,11665.6969300847,196359635508.995,2682886340.59904
Bitcoin,2018-01-29 00:00:00.000,11157.6638878978,187828526722.435,2345235501.17829
Bitcoin,2018-01-30 00:05:18.718,11095.2106891266,186776632503.018,2321424679.53181
Bitcoin,2018-01-31 00:00:00.000,9989.68977659669,168188285150.77,3804947187.22869
Bitcoin,2018-02-01 00:00:00.000,10114.495086226,170304196700.157,3225562144.83861
Bitcoin,2018-02-02 00:00:00.000,9070.55544937356,152744180864.164,4769515274.3457
Bitcoin,2018-02-03 00:00:00.000,8830.16351005472,148715185541.376,6813550017.17383
Bitcoin,2018-02-04 00:00:00.000,8994.91486607664,151507305722.97,3422042094.73302
Bitcoin,2018-02-05 00:00:00.000,8315.51749143615,140081544557.235,3337096341.00611
Bitcoin,2018-02-06 00:00:00.000,6852.05270051491,115444836533.448,5313588642.98138
Bitcoin,2018-02-07 00:00:00.000,7711.2203289411,129936854004.417,9152685412.95559
Bitcoin,2018-02-08 00:05:28.226,7611.61027778882,128271617562.325,4862232217.40141
Bitcoin,2018-02-09 00:00:00.000,8208.57208449673,138345016554.785,3190753947.37883
Bitcoin,2018-02-10 00:00:00.000,8650.71675042998,145812043727.555,2960039948.90738
Bitcoin,2018-02-11 00:00:00.000,8574.67763849023,144544944416.748,3371677737.53199
Bitcoin,2018-02-12 00:00:00.000,8168.63777979963,137716289625.309,2806997176.95887
Bitcoin,2018-02-13 00:00:00.000,8911.3985742083,150256428069.512,3069219870.56557
Bitcoin,2018-02-14 00:00:00.000,8518.26907619091,143645913955.803,2551515988.21609
Bitcoin,2018-02-15 00:00:00.000,9428.02560716167,159007423075.024,3282094240.87933
Bitcoin,2018-02-16 00:00:00.000,10112.5801434467,170569769073.988,4332356645.96348
Bitcoin,2018-02-17 00:00:00.000,10155.2770555258,171309236631.063,3141038601.33242
Bitcoin,2018-02-18 00:00:00.000,11006.647685962,185692327611.288,3699819140.17471
Bitcoin,2018-02-19 00:00:00.000,10523.429305801,177561296505.315,4740378626.74388
Bitcoin,2018-02-20 00:00:00.000,11103.0900361497,187364222442.605,3486171704.86656
Bitcoin,2018-02-21 00:00:00.000,11502.3770496396,194121879194.226,4225354045.179
Bitcoin,2018-02-22 00:00:00.000,9973.59211951887,168362084194.477,4574800113.39788
Bitcoin,2018-02-23 00:00:00.000,10032.863112314,169362253983.195,4626064156.35444
