Par,Volumen total diario
ETHBTC,"336,573,703.28"
LTCBTC,"336,577,628.78"
BNBBTC,"1,510,581,112.01"
NEOBTC,"424,093,655.00"
QTUMETH,"88,986,296.59"
EOSETH,"715,174,975.71"
SNTETH,"6,572,774,200.00"
BNTETH,"219,235,313.26"
BCCBTC,"4,104,808.87"
GASBTC,"446,199,689.96"
BNBETH,"155,755,910.17"
BTCUSDT,"157,010,706.06"
ETHUSDT,"1,186,512,913.12"
HSRBTC,"2,416.37"
OAXETH,"208,176,315.03"
DNTETH,"1,315,304,500.00"
MCOETH,"16,008,433.04"
ICNETH,"7,123,114.00"
MCOBTC,"143,260,754.89"
WTCBTC,"2,767,056,164.57"
WTCETH,"90,485,818.18"
LRCBTC,"13,276,140,937.00"
LRCETH,"2,587,747,115.00"
QTUMBTC,"1,034,838,771.21"
YOYOBTC,"40,179,182,947.00"
OMGBTC,"1,480,396,463.72"
OMGETH,"180,821,357.26"
ZRXBTC,"7,362,257,900.00"
ZRXETH,"679,425,168.00"
STRATBTC,"979,077,467.63"
STRATETH,"87,724,220.07"
SNGLSBTC,"42,689,587,591.00"
SNGLSETH,"955,286,742.00"
BQXBTC,"11,939,700,891.00"
BQXETH,"657,905,881.00"
KNCBTC,"4,076,261,454.80"
KNCETH,"651,570,463.30"
FUNBTC,"118,657,005,688.00"
FUNETH,"31,660,782,586.00"
SNMBTC,"35,871,755,220.40"
SNMETH,"766,405,396.00"
NEOETH,"57,504,858.45"
IOTABTC,"8,800,406,071.00"
IOTAETH,"983,279,649.00"
LINKBTC,"6,617,682,433.87"
LINKETH,"723,384,942.92"
XVGBTC,"321,592,207,953.00"
XVGETH,"66,843,831,179.00"
SALTBTC,"326,975,481.42"
SALTETH,"38,291,457.62"
MDABTC,"2,746,934,216.00"
MDAETH,"109,012,275.00"
MTLBTC,"5,109,560,292.54"
MTLETH,"394,076,741.75"
SUBBTC,"1,128,854,270.00"
SUBETH,"123,935,643.00"
EOSBTC,"4,963,223,436.34"
SNTBTC,"31,347,395,989.00"
ETCETH,"65,675,794.06"
ETCBTC,"674,943,517.04"
MTHBTC,"41,449,213,143.00"
MTHETH,"1,505,669,680.00"
ENGBTC,"1,277,542,744.00"
ENGETH,"150,457,799.00"
DNTBTC,"40,128,638,469.00"
ZECBTC,"72,174,326.56"
ZECETH,"5,159,455.26"
BNTBTC,"948,958,364.50"
ASTBTC,"19,045,209,683.00"
ASTETH,"661,485,205.00"
DASHBTC,"46,353,923.64"
DASHETH,"4,464,664.58"
OAXBTC,"10,199,640,274.00"
ICNBTC,"24,053,876.00"
BTGBTC,"79,500,975.34"
BTGETH,"1,727,694.16"
EVXBTC,"2,603,336,439.00"
EVXETH,"196,859,768.00"
REQBTC,"21,192,243,445.00"
REQETH,"1,100,123,308.00"
VIBBTC,"44,880,231,705.00"
VIBETH,"10,811,869,111.00"
HSRETH,228.45
TRXBTC,"457,050,335,976.00"
TRXETH,"91,644,040,579.00"
POWRBTC,"10,406,465,410.00"
