par_cripto,Fecha,Spread Diario
BTCUSDT,2018-01-02 10:16:45.247734,2583.47
BTCUSDT,2018-01-03 10:16:45.247734,1157.56
BTCUSDT,2018-01-04 10:16:45.247734,1361.96
BTCUSDT,2018-01-05 10:16:45.247734,2576.24
BTCUSDT,2018-01-06 10:16:45.247734,1131.92
BTCUSDT,2018-01-07 10:16:45.247734,1489.96
BTCUSDT,2018-01-08 10:16:45.247734,3510.3
BTCUSDT,2018-01-09 10:16:45.247734,1488.95
BTCUSDT,2018-01-10 10:16:45.247734,1824.35
BTCUSDT,2018-01-11 10:16:45.247734,3568.68
BTCUSDT,2018-01-12 10:16:45.247734,1609.78
BTCUSDT,2018-01-13 10:16:45.247734,873.85
BTCUSDT,2018-01-14 10:16:45.247734,1770.3
BTCUSDT,2018-01-15 10:16:45.247734,1102.2
BTCUSDT,2018-01-16 10:16:45.247734,4507.93
BTCUSDT,2018-01-17 10:16:45.247734,2643.05
BTCUSDT,2018-01-18 10:16:45.247734,1443.49
BTCUSDT,2018-01-19 10:16:45.247734,1435
BTCUSDT,2018-01-20 10:16:45.247734,1686.55
BTCUSDT,2018-01-21 10:16:45.247734,1834.8
BTCUSDT,2018-01-22 10:16:45.247734,2026.11
BTCUSDT,2018-01-23 10:16:45.247734,1494
BTCUSDT,2018-01-24 10:16:45.247734,1070.48
BTCUSDT,2018-01-25 10:16:45.247734,843.84
BTCUSDT,2018-01-26 10:16:45.247734,1331.85
BTCUSDT,2018-01-27 10:16:45.247734,807.31
BTCUSDT,2018-01-28 10:16:45.247734,836
BTCUSDT,2018-01-29 10:16:45.247734,835.470000000001
BTCUSDT,2018-01-30 10:16:45.247734,1408.42
BTCUSDT,2018-01-31 10:16:45.247734,725.85
BTCUSDT,2018-02-01 10:16:45.247734,1584.01
BTCUSDT,2018-02-02 10:16:45.247734,1239.98
BTCUSDT,2018-02-03 10:16:45.247734,1244.01
BTCUSDT,2018-02-04 10:16:45.247734,1438
BTCUSDT,2018-02-05 10:16:45.247734,1757.8
BTCUSDT,2018-02-06 10:16:45.247734,1877.99
BTCUSDT,2018-02-07 10:16:45.247734,1325.99
BTCUSDT,2018-02-08 10:16:45.247734,271.91
BTCUSDT,2018-02-09 10:16:45.247734,948.1
BTCUSDT,2018-02-10 10:16:45.247734,945.780000000001
BTCUSDT,2018-02-11 10:16:45.247734,822.47
BTCUSDT,2018-02-12 10:16:45.247734,936
BTCUSDT,2018-02-13 10:16:45.247734,599
BTCUSDT,2018-02-14 10:16:45.247734,956.6
BTCUSDT,2018-02-15 10:16:45.247734,918
BTCUSDT,2018-02-16 10:16:45.247734,657.370000000001
